@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R30-31,33'

@attribute position-x numeric
@attribute position-y numeric
@attribute pacman_legal1 {West,Stop,East,North,South,None}
@attribute pacman_legal2 {West,Stop,East,North,South,None}
@attribute pacman_legal3 {West,Stop,East,North,South,None}
@attribute pacman_legal4 {West,Stop,East,North,South,None}
@attribute pacman_mov {West,Stop,East,North,South,None}
@attribute fantasmas numeric
@attribute booleanP {True,False}
@attribute booleanG1 {True,False}
@attribute booleanG2 {True,False}
@attribute booleanG3 {True,False}
@attribute booleanG4 {True,False}
@attribute positiong1-x numeric
@attribute positiong1-y numeric
@attribute positiong2-x numeric
@attribute positiong2-y numeric
@attribute positiong3-x numeric
@attribute positiong3-y numeric
@attribute positiong4-x numeric
@attribute positiong4-y numeric
@attribute ghost1_legal {West,Stop,East,North,South,None}
@attribute ghost2_legal {West,Stop,East,North,South,None}
@attribute ghost3_legal {West,Stop,East,North,South,None}
@attribute ghost4_legal {West,Stop,East,North,South,None}
@attribute distanciaG1 numeric
@attribute distanciaG2 numeric
@attribute distanciaG3 numeric
@attribute distanciaG4 numeric
@attribute score numeric
@attribute pacman_legal {West,Stop,East,North,South,None}

@data
4,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,6,8,14,173,North
3,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,7,9,15,172,West
4,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,6,8,14,171,East
5,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,5,7,13,170,East
5,3,West,Stop,East,North,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,6,6,14,169,South
4,3,West,Stop,East,North,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,7,7,15,168,West
5,3,West,Stop,East,North,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,6,6,14,167,East
4,3,West,Stop,East,North,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,7,7,15,166,West
4,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,6,8,14,165,North
3,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,7,9,15,164,West
2,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,8,10,16,163,West
3,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,7,9,15,162,East
3,3,West,Stop,East,North,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,8,8,16,161,South
3,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,7,9,15,160,North
4,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,6,8,14,159,East
5,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,5,7,13,158,East
5,3,West,Stop,East,North,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,6,6,14,157,South
6,3,West,Stop,East,North,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,5,5,13,156,East
6,4,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,4,6,12,155,North
7,4,West,Stop,East,North,South,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,3,5,11,154,East
7,5,Stop,North,South,None,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,2,6,10,153,North
7,4,West,Stop,East,North,South,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,3,5,11,152,South
7,5,Stop,North,South,None,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,2,6,10,151,North
7,6,West,Stop,East,South,None,4,False,False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,1,7,9,150,North
8,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,6,8,349,East
7,6,West,Stop,East,South,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,7,9,348,West
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,347,West
7,6,West,Stop,East,South,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,7,9,346,East
8,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,6,8,345,East
7,6,West,Stop,East,South,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,7,9,344,West
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,343,West
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,342,West
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,341,East
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,340,West
4,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,10,12,339,West
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,338,East
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,337,East
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,336,West
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,335,East
7,6,West,Stop,East,South,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,7,9,334,East
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,333,West
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,332,West
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,331,East
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,330,West
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,329,East
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,328,West
4,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,10,12,327,West
3,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,11,13,326,West
4,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,10,12,325,East
5,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9,11,324,East
6,6,West,Stop,East,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,8,10,323,East
7,6,West,Stop,East,South,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,7,9,322,East
7,5,Stop,North,South,None,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,6,10,321,South
7,4,West,Stop,East,North,South,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,5,11,320,South
7,3,West,Stop,East,North,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,4,12,319,South
8,3,West,Stop,East,North,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,3,11,318,East
8,4,West,Stop,East,South,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,4,10,317,North
8,3,West,Stop,East,North,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,3,11,316,South
9,3,West,Stop,East,North,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,2,10,315,East
10,3,West,Stop,East,North,None,4,False,False,False,True,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,1,9,314,East
11,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,11,3,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,8,513,East
12,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,7,512,East
11,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,8,511,West
11,4,West,Stop,East,South,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,7,510,North
11,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,8,509,South
10,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,9,508,West
9,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,10,507,West
9,4,West,Stop,East,South,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,9,506,North
10,4,West,Stop,East,South,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,8,505,East
11,4,West,Stop,East,South,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,7,504,East
12,4,West,Stop,East,South,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,6,503,East
11,4,West,Stop,East,South,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,7,502,West
11,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,8,501,South
12,3,West,Stop,East,North,None,4,False,False,False,False,True,1,1,3,1,5,1,16,6,Stop,Stop,Stop,Stop,9999,9999,9999,7,500,East
