@RELATION all_data_pacman
		@ATTRIBUTE position-x NUMERIC
		@ATTRIBUTE position-y NUMERIC
		@ATTRIBUTE pacman_legal1 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal2 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal3 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal4 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_mov {West, Stop, East, North, South, None}
		@ATTRIBUTE fantasmas NUMERIC
		@ATTRIBUTE booleanP {True, False}
		@ATTRIBUTE booleanG1 {True, False}
		@ATTRIBUTE booleanG2 {True, False}
		@ATTRIBUTE booleanG3 {True, False}
		@ATTRIBUTE booleanG4 {True, False}
		@ATTRIBUTE positiong1-x NUMERIC
		@ATTRIBUTE positiong1-y NUMERIC
		@ATTRIBUTE positiong2-x NUMERIC
		@ATTRIBUTE positiong2-y NUMERIC
		@ATTRIBUTE positiong3-x NUMERIC
		@ATTRIBUTE positiong3-y NUMERIC
		@ATTRIBUTE positiong4-x NUMERIC
		@ATTRIBUTE positiong4-y NUMERIC
		@ATTRIBUTE ghost1_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost2_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost3_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost4_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE distanciaG1 NUMERIC
		@ATTRIBUTE distanciaG2 NUMERIC
		@ATTRIBUTE distanciaG3 NUMERIC
		@ATTRIBUTE distanciaG4 NUMERIC
		@ATTRIBUTE comida NUMERIC
		@ATTRIBUTE Dcomida NUMERIC
		@ATTRIBUTE pacman_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE score NUMERIC
		@ATTRIBUTE score_next NUMERIC
		
			@data
12, 7, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 8, 3, 12, 11, 9, 11, 9, North, West, South, West, 12, 14, 3, 3, 1, 8, West, -25, -26
12, 8, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 9, 4, 12, 11, 8, 11, 9, North, East, South, West, 12, 12, 1, 2, 1, 7, North, -26, -27
12, 9, West, Stop, East, North, South, 4, False, True, True, True, True, 2, 9, 3, 12, 11, 8, 11, 8, East, West, South, South, 10, 12, 2, 2, 1, 6, North, -27, 172
11, 9, West, Stop, East, North, South, 4, False, True, True, False, True, 3, 9, 3, 12, 11, 9, 11, 7, East, West, Stop, South, 8, 11, 9999, 2, 1, 7, West, 172, 171
11, 8, West, Stop, East, North, South, 4, False, True, True, False, True, 4, 9, 2, 12, 5, 1, 11, 7, East, West, Stop, South, 8, 13, 9999, 1, 1, 8, South, 171, 170
11, 7, West, Stop, East, North, South, 4, False, True, True, False, True, 5, 9, 1, 12, 5, 1, 11, 6, East, West, Stop, South, 8, 15, 9999, 1, 1, 9, South, 170, 369
11, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 4, 9, 1, 11, 5, 1, 7, 1, West, South, Stop, Stop, 10, 15, 9999, 9999, 1, 10, South, 369, 368
11, 5, West, Stop, East, North, South, 4, False, True, True, False, False, 4, 8, 1, 12, 5, 1, 7, 1, South, North, Stop, Stop, 10, 17, 9999, 9999, 1, 11, South, 368, 367
10, 5, West, Stop, East, North, South, 4, False, True, True, False, False, 4, 9, 2, 12, 5, 1, 7, 1, North, East, Stop, Stop, 10, 15, 9999, 9999, 1, 12, West, 367, 366
9, 5, West, Stop, East, North, South, 4, False, True, True, False, False, 3, 9, 2, 11, 5, 1, 7, 1, West, South, Stop, Stop, 10, 13, 9999, 9999, 1, 13, West, 366, 365
